id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
60355,"Rua Betinha - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,NOVA DESCOBERTA,,,-8.0023116,-34.924695,"21/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,a96e3c9a-c2af-4511-b18d-bd96574e6a48,People,dead,Sem identificação,"21/10/2023, 21:00:00",Civilian,25,adulto,homem cis,Branca,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60364,"Comunidade Roda de Fogo - R. Prof. Artur Coutinho, 587-751 - Torrões, Recife - PE, 50660-390, Brasil",Nordeste,Pernambuco,Recife,TORROES,,COMUNIDADE RODA DE FOGO,-8.05839686	,-34.93785631,"21/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,5b5ed4e5-56e3-403d-83ff-d51d345ad679,People,dead,Sem identificação,"21/10/2023, 21:00:00",Civilian,,não identificado,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60356,"R. Boaventura Rodrigues - Pina, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,PINA,,COMUNIDADE DO BODE,-8.0944334,-34.888425,"21/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,c7238a99-8726-49e7-848c-5a3acaf7f9e1,People,dead,Sem identificação,"21/10/2023, 21:00:00",Civilian,40,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60363,"Av. Camarão, 53 - Cordeiro, Recife - PE, 50721-360, Brasil",Nordeste,Pernambuco,Recife,CORDEIRO,,,-8.047797732315171,-34.93287572023965,"22/10/2023, 06:00:00",false,true,,Tentativa/Roubo,,,false,f697c643-6a2e-44b8-8fdc-f9426247f8a3,People,dead,Sem identificação,"22/10/2023, 06:00:00",Civilian,24,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60363,"Av. Camarão, 53 - Cordeiro, Recife - PE, 50721-360, Brasil",Nordeste,Pernambuco,Recife,CORDEIRO,,,-8.047797732315171,-34.93287572023965,"22/10/2023, 06:00:00",false,true,,Tentativa/Roubo,,,false,767d1322-bd84-4856-af3e-28a6cdb40ade,People,wounded,Sem identificação,,Civilian,20,adulto,mulher cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60376,"Alto Santa Teresinha, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,ALTO SANTA TERESINHA,,,-8.016644099999999,-34.9086105,"22/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,96584143-45ff-421e-a2f8-08063210c9aa,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60384,"Alto da Saudade, 1780 - Alto José Bonifacio, Recife - PE, 52080-030, Brasil",Nordeste,Pernambuco,Recife,ALTO JOSE BONIFACIO,,ALTO DA SAUDADE,-8.015258007534568,-34.91144111838571,"23/10/2023, 15:00:00",true,true,Não identificado,Ação policial,,,false,fc8c1a8a-fa72-4f92-926c-9847237fc7c2,People,wounded,Sem identificação,,Civilian,19,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60381,"Rua Áureliano Leal - Alto do Maracana, Dois Unidos, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,DOIS UNIDOS,,ALTO DO MARACANA,-8.0027702,-34.9103462,"23/10/2023, 19:00:00",false,false,,Homicidio/Tentativa,,,false,0d3e83ba-e089-4b9b-9cbb-725f09afa868,People,dead,Sem identificação,"23/10/2023, 19:00:00",Civilian,28,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60392," Ilha de Santa Terezinha - Santo Amaro, Recife - PE, 50110-065, Brasil",Nordeste,Pernambuco,Recife,SANTO AMARO,,COMUNIDADE ILHA DE SANTA TEREZINHA,-8.040001586455455," -34.875277803370935","23/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,789dc88f-fef9-470a-9108-5c945b2e427b,People,dead,Sem identificação,"23/10/2023, 21:00:00",Civilian,15,adolescente,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60382,"R. Sargento Wolff - Afogados, Recife - PE, 50830-510, Brasil",Nordeste,Pernambuco,Recife,AFOGADOS,,,-8.072764853792686,-34.91209495360385,"23/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,db9baa96-6770-4649-a872-e95592929d0c,People,wounded,Sem identificação,,Civilian,41,adulto,homem cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
